Čas          | sub.txt                                                                                                                                    | subor3.txt                                                                                                                                
12:27:18.669 | -------powerup-------                                                                                                                      |                                                                                                                                           
12:27:18.670 | NOT sending periodic LteInfoReport, PID.DEV_IDENT_AUTO_SEND is disabled                                                                    |                                                                                                                                           
12:27:24.619 | PropertyValueWrite(src='0.2.251', dest='0.2.250', Obj=4, Prop=5, Count=1, Start=1, Data=[4,0,0,0,0,0,0,0,0,0]) # [<LoadState.unloaded: 0>] |                                                                                                                                           
12:27:24.816 | PropertyValueWrite(src='0.2.251', dest='0.2.250', Obj=1, Prop=5, Count=1, Start=1, Data=[4,0,0,0,0,0,0,0,0,0]) # [<LoadState.unloaded: 0>] |                                                                                                                                           
12:27:25.007 | PropertyValueWrite(src='0.2.251', dest='0.2.250', Obj=2, Prop=5, Count=1, Start=1, Data=[4,0,0,0,0,0,0,0,0,0]) # [<LoadState.unloaded: 0>] |                                                                                                                                           
12:27:25.198 | PropertyValueWrite(src='0.2.251', dest='0.2.250', Obj=3, Prop=5, Count=1, Start=1, Data=[4,0,0,0,0,0,0,0,0,0]) # [<LoadState.unloaded: 0>] |                                                                                                                                           
12:27:25.390 | PropertyValueWrite(src='0.2.251', dest='0.2.250', Obj=4, Prop=5, Count=1, Start=1, Data=[1,0,0,0,0,0,0,0,0,0]) # [<LoadState.loading: 2>]  |                                                                                                                                           
12:27:25.561 | PropertyValueWrite(src='0.2.251', dest='0.2.250', Obj=0, Prop=240, Count=1, Start=1, Data=[1]) #LTE_ENABLE                                 |                                                                                                                                           
12:27:25.694 | PropertyValueWrite(src='0.2.251', dest='0.2.250', Obj=0, Prop=242, Count=1, Start=1, Data=[1]) #DEV_IDENT_AUTO_SEND                        |                                                                                                                                           
12:27:25.829 | PropertyValueWrite(src='0.2.251', dest='0.2.250', Obj=19, Prop=111, Count=1, Start=1, Data=[1,0xA1]) #                                     |                                                                                                                                           
12:27:25.970 | PropertyValueWrite(src='0.2.251', dest='0.2.250', Obj=11, Prop=101, Count=1, Start=1, Data=[1,4]) #Apartment Z8Status(,,,,)                |                                                                                                                                           
12:27:26.112 | PropertyValueWrite(src='0.2.251', dest='0.2.250', Obj=11, Prop=102, Count=1, Start=1, Data=[1,4]) #Room Z8Status(,,,,)                     |                                                                                                                                           
12:27:26.252 | PropertyValueWrite(src='0.2.251', dest='0.2.250', Obj=11, Prop=103, Count=1, Start=1, Data=[2,4]) #Subzone Z8Status(,,,,)                  |                                                                                                                                           
12:27:26.390 | PropertyValueWrite(src='0.2.251', dest='0.2.250', Obj=11, Prop=110, Count=1, Start=1, Data=[2]) #                                          |                                                                                                                                           
12:27:26.523 | PropertyValueWrite(src='0.2.251', dest='0.2.250', Obj=11, Prop=111, Count=1, Start=1, Data=[1]) #                                          |                                                                                                                                           
12:27:26.659 | PropertyValueWrite(src='0.2.251', dest='0.2.250', Obj=11, Prop=113, Count=1, Start=1, Data=[0,0]) #                                        |                                                                                                                                           
12:27:26.801 | PropertyValueWrite(src='0.2.251', dest='0.2.250', Obj=11, Prop=114, Count=1, Start=1, Data=[0,0]) #                                        |                                                                                                                                           
12:27:26.938 | PropertyValueWrite(src='0.2.251', dest='0.2.250', Obj=11, Prop=120, Count=1, Start=1, Data=[0]) #                                          |                                                                                                                                           
12:27:27.071 | PropertyValueWrite(src='0.2.251', dest='0.2.250', Obj=11, Prop=126, Count=1, Start=1, Data=[0]) #                                          |                                                                                                                                           
12:27:27.227 | PropertyValueWrite(src='0.2.251', dest='0.2.250', Obj=4, Prop=5, Count=1, Start=1, Data=[2,0,0,0,0,0,0,0,0,0]) # [<LoadState.loaded: 1>]   |                                                                                                                                           
12:27:27.385 | -------restart-------                                                                                                                      |                                                                                                                                           
12:27:27.386 | -------powerup-------                                                                                                                      |                                                                                                                                           
12:27:27.389 | LteInfoReport periodic sent                                                                                                                |                                                                                                                                           
12:27:29.730 |                                                                                                                                            | PropertyValueRead(src='0.2.251', dest='0.2.249', Obj=0, Prop=246, Count=1, Start=1) #DEV_TYPE_ID                                          
12:27:29.803 |                                                                                                                                            | PropertyValueRead(src='0.2.251', dest='0.2.249', Obj=9, Prop=91, Count=1, Start=1) #PID_VERSION_ARRAY                                     
12:27:29.870 |                                                                                                                                            | PropertyValueRead(src='0.2.251', dest='0.2.249', Obj=0, Prop=12, Count=1, Start=1) #MANUFACTURER_ID                                       
12:27:29.934 |                                                                                                                                            | PropertyValueRead(src='0.2.251', dest='0.2.249', Obj=0, Prop=15, Count=1, Start=1) #ORDER_INFO                                            
12:27:30.013 |                                                                                                                                            | PropertyValueWrite(src='0.2.251', dest='0.2.249', Obj=0, Prop=242, Count=1, Start=1, Data=[1]) #DEV_IDENT_AUTO_SEND                       
12:27:30.291 |                                                                                                                                            | ============running test009c   assigment to incompatible device shall fail==============                                                  
12:27:30.292 | ============running test009c   assigment to incompatible device shall fail==============                                                   |                                                                                                                                           
12:27:31.038 |                                                                                                                                            | ============running test010   unconnect both relays, both shall be missing after one hour==============                                   
12:27:31.039 | ============running test010   unconnect both relays, both shall be missing after one hour==============                                    |                                                                                                                                           
12:27:32.317 |                                                                                                                                            | ====start assigment to BaPrphDev<0.2.250, RL512/23 - JB512C23_1'PrphDev_1, 000000000002, PL-1:DL=1;, operational>====                     
12:27:32.318 |                                                                                                                                            | set prgmode True                                                                                                                          
12:27:35.740 |                                                                                                                                            | PropertyValueWrite(src='0.2.251', dest='0.2.249', Obj=0, Prop=54, Count=1, Start=1, Data=[0]) #PROG_MODE                                  
12:27:36.655 |                                                                                                                                            | -------restart with <EreaseCode.FACTORYRESET_WOIA: 7> ----                                                                                
12:27:36.656 |                                                                                                                                            | -------powerup-------                                                                                                                     
12:27:36.658 |                                                                                                                                            | NOT sending periodic LteInfoReport, PID.DEV_IDENT_AUTO_SEND is disabled                                                                   
12:27:42.707 |                                                                                                                                            | PropertyValueWrite(src='0.2.251', dest='0.2.249', Obj=4, Prop=5, Count=1, Start=1, Data=[4,0,0,0,0,0,0,0,0,0]) # [<LoadState.unloaded: 0>]
12:27:42.796 |                                                                                                                                            | PropertyValueWrite(src='0.2.251', dest='0.2.249', Obj=1, Prop=5, Count=1, Start=1, Data=[4,0,0,0,0,0,0,0,0,0]) # [<LoadState.unloaded: 0>]
12:27:42.885 |                                                                                                                                            | PropertyValueWrite(src='0.2.251', dest='0.2.249', Obj=2, Prop=5, Count=1, Start=1, Data=[4,0,0,0,0,0,0,0,0,0]) # [<LoadState.unloaded: 0>]
12:27:42.973 |                                                                                                                                            | PropertyValueWrite(src='0.2.251', dest='0.2.249', Obj=3, Prop=5, Count=1, Start=1, Data=[4,0,0,0,0,0,0,0,0,0]) # [<LoadState.unloaded: 0>]
12:27:43.062 |                                                                                                                                            | PropertyValueWrite(src='0.2.251', dest='0.2.249', Obj=4, Prop=5, Count=1, Start=1, Data=[1,0,0,0,0,0,0,0,0,0]) # [<LoadState.loading: 2>] 
12:27:43.127 |                                                                                                                                            | PropertyValueWrite(src='0.2.251', dest='0.2.249', Obj=0, Prop=240, Count=1, Start=1, Data=[1]) #LTE_ENABLE                                
12:27:43.193 |                                                                                                                                            | PropertyValueWrite(src='0.2.251', dest='0.2.249', Obj=0, Prop=242, Count=1, Start=1, Data=[1]) #DEV_IDENT_AUTO_SEND                       
12:27:43.261 |                                                                                                                                            | PropertyValueWrite(src='0.2.251', dest='0.2.249', Obj=19, Prop=111, Count=1, Start=1, Data=[1,0xA1]) #                                    
12:27:43.331 |                                                                                                                                            | PropertyValueWrite(src='0.2.251', dest='0.2.249', Obj=11, Prop=101, Count=1, Start=1, Data=[1,4]) #Apartment Z8Status(,,,,)               
12:27:43.401 |                                                                                                                                            | PropertyValueWrite(src='0.2.251', dest='0.2.249', Obj=11, Prop=102, Count=1, Start=1, Data=[1,4]) #Room Z8Status(,,,,)                    
12:27:43.471 |                                                                                                                                            | PropertyValueWrite(src='0.2.251', dest='0.2.249', Obj=11, Prop=103, Count=1, Start=1, Data=[2,4]) #Subzone Z8Status(,,,,)                 
12:27:43.540 |                                                                                                                                            | PropertyValueWrite(src='0.2.251', dest='0.2.249', Obj=11, Prop=110, Count=1, Start=1, Data=[2]) #                                         
12:27:43.607 |                                                                                                                                            | PropertyValueWrite(src='0.2.251', dest='0.2.249', Obj=11, Prop=111, Count=1, Start=1, Data=[1]) #                                         
12:27:43.675 |                                                                                                                                            | PropertyValueWrite(src='0.2.251', dest='0.2.249', Obj=11, Prop=113, Count=1, Start=1, Data=[0,0]) #                                       
12:27:43.745 |                                                                                                                                            | PropertyValueWrite(src='0.2.251', dest='0.2.249', Obj=11, Prop=114, Count=1, Start=1, Data=[0,0]) #                                       
12:27:43.815 |                                                                                                                                            | PropertyValueWrite(src='0.2.251', dest='0.2.249', Obj=11, Prop=120, Count=1, Start=1, Data=[0]) #                                         
12:27:43.880 |                                                                                                                                            | PropertyValueWrite(src='0.2.251', dest='0.2.249', Obj=11, Prop=126, Count=1, Start=1, Data=[0]) #                                         
12:27:43.968 |                                                                                                                                            | PropertyValueWrite(src='0.2.251', dest='0.2.249', Obj=4, Prop=5, Count=1, Start=1, Data=[2,0,0,0,0,0,0,0,0,0]) # [<LoadState.loaded: 1>]  
12:27:44.024 |                                                                                                                                            | -------restart-------                                                                                                                     
12:27:44.026 |                                                                                                                                            | -------powerup-------                                                                                                                     
12:27:44.029 |                                                                                                                                            | LteInfoReport periodic sent                                                                                                               
12:27:48.760 |                                                                                                                                            | ============running test011   connect relay3, shall be not assigned==============                                                         
12:27:48.761 | ============running test011   connect relay3, shall be not assigned==============                                                          |                                                                                                                                           
12:28:22.724 | PropertyValueRead(src='0.2.251', dest='0.2.250', Obj=0, Prop=246, Count=1, Start=1) #DEV_TYPE_ID                                           |                                                                                                                                           
12:28:22.858 | PropertyValueRead(src='0.2.251', dest='0.2.250', Obj=9, Prop=91, Count=1, Start=1) #PID_VERSION_ARRAY                                      |                                                                                                                                           
12:28:22.989 | PropertyValueRead(src='0.2.251', dest='0.2.250', Obj=0, Prop=12, Count=1, Start=1) #MANUFACTURER_ID                                        |                                                                                                                                           
12:28:23.115 | PropertyValueRead(src='0.2.251', dest='0.2.250', Obj=0, Prop=15, Count=1, Start=1) #ORDER_INFO                                             |                                                                                                                                           
12:28:23.259 | PropertyValueWrite(src='0.2.251', dest='0.2.250', Obj=0, Prop=242, Count=1, Start=1, Data=[1]) #DEV_IDENT_AUTO_SEND                        |                                                                                                                                           
12:28:33.685 |                                                                                                                                            | PropertyValueRead(src='0.2.251', dest='0.2.249', Obj=0, Prop=241, Count=1, Start=1) #DEV_IDENT                                            
12:29:04.594 | -------restart with <EreaseCode.FACTORYRESET_WOIA: 7> ----                                                                                 |                                                                                                                                           
12:29:04.595 | -------powerup-------                                                                                                                      |                                                                                                                                           
12:29:04.596 | NOT sending periodic LteInfoReport, PID.DEV_IDENT_AUTO_SEND is disabled                                                                    |                                                                                                                                           
12:29:51.667 | LteInfoReport sent (triggered by LteWrite)                                                                                                 |                                                                                                                                           
12:30:51.663 | LteInfoReport sent (triggered by LteWrite)                                                                                                 |                                                                                                                                           
12:57:44.037 |                                                                                                                                            | LteInfoReport periodic sent                                                                                                               
